Fantasy Index Cheat Sheet,,,,,,,,,,,,,,
Rankings calculated for Ohio Outcasts,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
"Projections updated through Sep 07, 2026,  8 p.m. EDT",,,,,,,,,,,,,,
ALL POSITIONS,,,,,,,,,,,,,,
Rank,Pos,Team,Name,Bye,Points,,,,,,,,,
251,WR,DET,Isaac TeSlaa,6,54.76,,,,,,,,,
252,WR,DAL,KaVontae Turpin,14,52.9,,,,,,,,,
253,RB,SEA,Emanuel Wilson,11,52.31,,,,,,,,,
254,WR,LAC,Tre Harris,7,51.09,,,,,,,,,
255,TE,LAC,David Njoku,7,50.61,,,,,,,,,
256,RB,NYG,Tyrone Tracy,8,49.86,,,,,,,,,
257,WR,CIN,Andrei Iosivas,6,49.52,,,,,,,,,
258,WR,TB,Ted Hurst,10,49.39,,,,,,,,,
259,WR,DEN,Marvin Mims,10,77.74,,,,,,,,,
260,RB,SF,Jordan James,8,48.46,,,,,,,,,
261,WR,CLE,Isaiah Bond,11,48.24,,,,,,,,,
262,WR,PIT,Roman Wilson,9,48.18,,,,,,,,,
263,RB,MIA,Jaylen Wright,6,48.08,,,,,,,,,
264,WR,NO,Jordyn Tyson,8,47.86,,,,,,,,,
265,QB,CLE,Shedeur Sanders,11,47.38,,,,,,,,,
266,TE,LAC,Oronde Gadsden,7,47.06,,,,,,,,,
267,RB,DET,Isiah Pacheco,6,47.05,,,,,,,,,
268,RB,MIN,Demond Claiborne,6,46.66,,,,,,,,,
269,WR,NO,Barion Brown,8,46.61,,,,,,,,,
270,TE,CAR,Darren Waller,6,46.54,,,,,,,,,
271,RB,BAL,Adam Randall,13,46.54,,,,,,,,,
272,TE,GB,Jonnu Smith,11,45.49,,,,,,,,,
273,RB,TEN,Nicholas Singleton,9,46.04,,,,,,,,,
274,WR,KC,Jalen Royals,5,29.84,,,,,,,,,
275,WR,PIT,Germie Bernard,9,43.91,,,,,,,,,
276,TE,TEN,Daniel Bellinger,9,43.69,,,,,,,,,
277,TE,BUF,Dawson Knox,7,42.67,,,,,,,,,
278,RB,BUF,Ty Johnson,7,42.35,,,,,,,,,
279,WR,CIN,Colbie Young,6,41.86,,,,,,,,,
280,WR,ATL,Zachariah Branch,11,41.4,,,,,,,,,
281,WR,BUF,Skyler Bell,7,40.85,,,,,,,,,
282,RB,KC,Brashard Smith,5,40.56,,,,,,,,,
283,TE,SF,Jake Tonges,8,39.06,,,,,,,,,
284,TE,CAR,Tommy Tremble,5,38.98,,,,,,,,,
285,RB,NYG,Devin Singletary,8,38.72,,,,,,,,,
286,WR,DEN,Troy Franklin,10,37.72,,,,,,,,,
287,TE,UFA,Zach Ertz,0,37.7,,,,,,,,,
288,WR,NYJ,Isaiah Williams,13,37.67,,,,,,,,,
289,WR,LAC,Brenen Thompson,7,37.63,,,,,,,,,
290,TE,KC,Noah Gray,5,37.22,,,,,,,,,
291,RB,NYJ,Isaiah Davis,13,37.07,,,,,,,,,
292,RB,CIN,Tahj Brooks,6,37.02,,,,,,,,,
293,QB,KC,Justin Fields,5,36.89,,,,,,,,,
294,RB,GB,Kaleb Johnson,12,36.52,,,,,,,,,
295,WR,CHI,Kalif Raymond,10,36.49,,,,,,,,,
296,WR,LAR,Konata Mumpfield,11,36.46,,,,,,,,,
297,TE,NO,Noah Fant,8,35.51,,,,,,,,,
298,WR,ATL,Olamide Zaccheaus,11,35.33,,,,,,,,,
299,TE,CHI,Cole Kmet,10,34.5,,,,,,,,,
300,QB,NYG,Jameis Winston,8,33.97,,,,,,,,,
301,RB,IND,DJ Giddens,13,33.89,,,,,,,,,
302,RB,BAL,Rasheen Ali,13,33.17,,,,,,,,,
303,RB,TB,Sean Tucker,10,33.12,,,,,,,,,
304,RB,ARI,James Conner,14,33.01,,,,,,,,,
305,WR,NYJ,Omar Cooper,13,32.76,,,,,,,,,
306,RB,CLE,Raheim Sanders,11,32.52,,,,,,,,,
307,WR,WAS,Luke McCaffrey,7,32.01,,,,,,,,,
308,TE,NYG,Theo Johnson,8,31.96,,,,,,,,,
309,RB,DET,Sione Vaki,6,31.36,,,,,,,,,
310,WR,LAR,Tutu Atwell,11,31.18,,,,,,,,,
311,WR,NYG,Darnell Mooney,8,36.83,,,,,,,,,
312,WR,CHI,Zavion Thomas,10,30.58,,,,,,,,,
313,WR,LV,Malik Benson,13,29.67,,,,,,,,,
314,RB,DAL,Emari Demercado,14,28.45,,,,,,,,,
315,RB,JAC,LeQuint Allen,7,28.02,,,,,,,,,
316,RB,NO,Audric Estime,8,27.74,,,,,,,,,
